[ 25] event     0/4     idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 0       | PULSE: 3876
[ 26] event     0/4     idle 1031 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 0       | PULSE: 3902
[ 25] event     0/4     idle 938  event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 0       | PULSE: 3927
[ 25] event     0/4     idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 0       | PULSE: 3952
[ 25] event     0/4     idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 0       | PULSE: 3977
[ 25] event     0/4     idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 0       | PULSE: 4002
[ 25] event     0/4     idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 0       | PULSE: 4027
[ 25] event     0/4     idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 0       | PULSE: 4052
[ 25] event     0/4     idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 0       | PULSE: 4077
[ 25] event     0/4     idle 984  event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 0       | PULSE: 4102
[ 25] event     0/4     idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 0       | PULSE: 4127
[ 26] event     0/4     idle 999  event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 0       | PULSE: 4153
[ 25] event     0/4     idle 984  event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 0       | PULSE: 4178
[ 25] event     0/4     idle 985  event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 0       | PULSE: 4203
[ 25] event     0/4     idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 0       | PULSE: 4228
[ 25] event     0/4     idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 0       | PULSE: 4253
[ 26] event     0/4     idle 1015 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 0       | PULSE: 4279
[ 25] event     0/4     idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 0       | PULSE: 4304
[ 25] event     0/4     idle 985  event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 0       | PULSE: 4329
[ 25] event     0/4     idle 985  event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 0       | PULSE: 4354
[ 25] event     0/4     idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 0       | PULSE: 4379
[ 25] event     0/4     idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 0       | PULSE: 4404
[ 25] event     0/4     idle 1000 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 0       | PULSE: 4429
[ 26] event     0/4     idle 1031 event 0    heartbeat 0    I/O 0    chrUpate 0    | WRITE: 0       | PULSE: 4455
